Citation/Document Number,Type,Relation
"US12358984","Patent","Study Patent"
"WO19160755","Patent","Family Member"
"WO2019160755","Patent","Family Member"
"WO19160751","Patent","Family Member"
"WO2019160751","Patent","Family Member"
"US2024026003","Patent","Family Member"
"US2021047409","Patent","Family Member"
"US2021047408","Patent","Family Member"
"US12358984","Patent","Family Member"
"SG11202007590T","Patent","Family Member"
"RU2846266","Patent","Family Member"
"RU2825835","Patent","Family Member"
"RU2020129827","Patent","Family Member"
"RU2020129075","Patent","Family Member"
"MX423581","Patent","Family Member"
"MX422631","Patent","Family Member"
"MX2024013016","Patent","Family Member"
"MX2020008446","Patent","Family Member"
"MX2020008445","Patent","Family Member"
"MA52789","Patent","Family Member"
"MA51844","Patent","Family Member"
"KR20200119845","Patent","Family Member"
"KR20200119844","Patent","Family Member"
"JP2024038251","Patent","Family Member"
"JP2024038250","Patent","Family Member"
"JP2021513541","Patent","Family Member"
"JP2021513540","Patent","Family Member"
"IL276303","Patent","Family Member"
"HK40034729","Patent","Family Member"
"EP3752193","Patent","Family Member"
"EP3752180","Patent","Family Member"
"CN120919306","Patent","Family Member"
"CN119792515","Patent","Family Member"
"CN111727056","Patent","Family Member"
"CN111712255","Patent","Family Member"
"CL2020002075","Patent","Family Member"
"CA3307689","Patent","Family Member"
"CA3090996","Patent","Family Member"
"CA3090995","Patent","Family Member"
"BR112020016331","Patent","Family Member"
"BR112020015915","Patent","Family Member"
"AU2026201041","Patent","Family Member"
"AU2023208115","Patent","Family Member"
"AU2019222517","Patent","Family Member"
"AU2019220495","Patent","Family Member"
"JP2017530950","Patent","Citation"
"MX2019002946","Patent","Citation"
"MX2019008207","Patent","Citation"
"US2016022814","Patent","Citation"
"US2017313775","Patent","Citation"
"US2020109204","Patent","Citation"
"US9220776","Patent","Citation"
"WO08156712","Patent","Citation"
"WO2008156712","Patent","Citation"
"WO12135408","Patent","Citation"
"WO2012135408","Patent","Citation"
"WO14100079","Patent","Citation"
"WO2014100079","Patent","Citation"
"WO15095423","Patent","Citation"
"WO2015095423","Patent","Citation"
"WO16032927","Patent","Citation"
"WO2016032927","Patent","Citation"
"WO16137850","Patent","Citation"
"WO2016137850","Patent","Citation"
"WO16176504","Patent","Citation"
"WO2016176504","Patent","Citation"
"WO16196389","Patent","Citation"
"WO2016196389","Patent","Citation"
"WO17106656","Patent","Citation"
"WO2017106656","Patent","Citation"
"WO17127811","Patent","Citation"
"WO2017127811","Patent","Citation"
"WO17151502","Patent","Citation"
"WO2017151502","Patent","Citation"
"WO17165125","Patent","Citation"
"WO2017165125","Patent","Citation"
"WO17197263","Patent","Citation"
"WO2017197263","Patent","Citation"
"WO17205216","Patent","Citation"
"WO2017205216","Patent","Citation"
"WO17210624","Patent","Citation"
"WO2017210624","Patent","Citation"
"WO18053106","Patent","Citation"
"WO2018053106","Patent","Citation"
"WO18129559","Patent","Citation"
"WO2018129559","Patent","Citation"
"EP3185866","Patent","Citation Family Member"
"JP2020117524","Patent","Citation Family Member"
"CA2955676","Patent","Citation Family Member"
"US2017274074","Patent","Citation Family Member"
"US10695426","Patent","Citation Family Member"
"KR20190045938","Patent","Citation Family Member"
"CN109789205","Patent","Citation Family Member"
"IN201917008537","Patent","Citation Family Member"
"DOP2019000056","Patent","Citation Family Member"
"ID201905150","Patent","Citation Family Member"
"CR20190199","Patent","Citation Family Member"
"PH2019500540","Patent","Citation Family Member"
"RU2019110835","Patent","Citation Family Member"
"ECSP19026178","Patent","Citation Family Member"
"ZA201902265","Patent","Citation Family Member"
"KR20230114331","Patent","Citation Family Member"
"MY192158","Patent","Citation Family Member"
"NZ751202","Patent","Citation Family Member"
"IL265179","Patent","Citation Family Member"
"CL2019000628","Patent","Citation Family Member"
"EP3512547","Patent","Citation Family Member"
"PE20191102","Patent","Citation Family Member"
"SG10201914120X","Patent","Citation Family Member"
"CL2019003627","Patent","Citation Family Member"
"HK40004716","Patent","Citation Family Member"
"EP3778643","Patent","Citation Family Member"
"HK40046393","Patent","Citation Family Member"
"CO20190003154","Patent","Citation Family Member"
"BR112019004998","Patent","Citation Family Member"
"US2018072810","Patent","Citation Family Member"
"US2018148513","Patent","Citation Family Member"
"AU2017326329","Patent","Citation Family Member"
"CA3035932","Patent","Citation Family Member"
"US2020040098","Patent","Citation Family Member"
"US2020317808","Patent","Citation Family Member"
"IL306104","Patent","Citation Family Member"
"MX399270","Patent","Citation Family Member"
"IN486736","Patent","Citation Family Member"
"VN10040574","Patent","Citation Family Member"
"RS61204","Patent","Citation Family Member"
"KR102561356","Patent","Citation Family Member"
"JP7079773","Patent","Citation Family Member"
"US9914783","Patent","Citation Family Member"
"US10730953","Patent","Citation Family Member"
"RU2752562","Patent","Citation Family Member"
"UA124631","Patent","Citation Family Member"
"DE602017027438","Patent","Citation Family Member"
"LT3512547","Patent","Citation Family Member"
"PT3512547","Patent","Citation Family Member"
"SMT202000691","Patent","Citation Family Member"
"HR20201993","Patent","Citation Family Member"
"SI3512547","Patent","Citation Family Member"
"MK11327","Patent","Citation Family Member"
"CY1123642","Patent","Citation Family Member"
"JP2019533989","Patent","Citation Family Member"
"HU051700","Patent","Citation Family Member"
"DK3512547","Patent","Citation Family Member"
"PL3512547","Patent","Citation Family Member"
"ES2837755","Patent","Citation Family Member"
"TW201831200","Patent","Citation Family Member"
"IN201917032456","Patent","Citation Family Member"
"KR20190114996","Patent","Citation Family Member"
"CN110382545","Patent","Citation Family Member"
"MA47208","Patent","Citation Family Member"
"ZA201904316","Patent","Citation Family Member"
"IL267804","Patent","Citation Family Member"
"SG11201906192S","Patent","Citation Family Member"
"EP3565844","Patent","Citation Family Member"
"EA201991336","Patent","Citation Family Member"
"SG10201913075R","Patent","Citation Family Member"
"HK40016035","Patent","Citation Family Member"
"BR112019014187","Patent","Citation Family Member"
"JP2022082809","Patent","Citation Family Member"
"EP4219563","Patent","Citation Family Member"
"AU2018206481","Patent","Citation Family Member"
"CA3049440","Patent","Citation Family Member"
"US2020239574","Patent","Citation Family Member"
"US2023111418","Patent","Citation Family Member"
"AU2025200639","Patent","Citation Family Member"
"US2026193352","Patent","Citation Family Member"
"TWI767976","Patent","Citation Family Member"
"MX404639","Patent","Citation Family Member"
"KR102606252","Patent","Citation Family Member"
"JP7110206","Patent","Citation Family Member"
"US11407830","Patent","Citation Family Member"
"US12415855","Patent","Citation Family Member"
"DE602018046637","Patent","Citation Family Member"
"PT3565844","Patent","Citation Family Member"
"JP2020504141","Patent","Citation Family Member"
"HU061842","Patent","Citation Family Member"
"DK3565844","Patent","Citation Family Member"
"PL3565844","Patent","Citation Family Member"
"ES2945745","Patent","Citation Family Member"
"FI3565844","Patent","Citation Family Member"
"MA40061","Patent","Citation Family Member"
"MA40344","Patent","Citation Family Member"
"IN201717003787","Patent","Citation Family Member"
"KR20170052569","Patent","Citation Family Member"
"CN106794235","Patent","Citation Family Member"
"IN201747005322","Patent","Citation Family Member"
"KR20170063505","Patent","Citation Family Member"
"CN106999561","Patent","Citation Family Member"
"CN114984228","Patent","Citation Family Member"
"IL250187","Patent","Citation Family Member"
"IL249671","Patent","Citation Family Member"
"MX2017000836","Patent","Citation Family Member"
"MX2017000857","Patent","Citation Family Member"
"WO16011357","Patent","Citation Family Member"
"WO2016011357","Patent","Citation Family Member"
"WO16011362","Patent","Citation Family Member"
"WO2016011362","Patent","Citation Family Member"
"EP3169355","Patent","Citation Family Member"
"SG11201701149S","Patent","Citation Family Member"
"SG11201700090R","Patent","Citation Family Member"
"EP3193921","Patent","Citation Family Member"
"HK1238148","Patent","Citation Family Member"
"HK1241280","Patent","Citation Family Member"
"SG10201913696Y","Patent","Citation Family Member"
"HK40081217","Patent","Citation Family Member"
"AU2015289449","Patent","Citation Family Member"
"CA2955612","Patent","Citation Family Member"
"CA2955432","Patent","Citation Family Member"
"AU2015289533","Patent","Citation Family Member"
"US2018064765","Patent","Citation Family Member"
"US2018185483","Patent","Citation Family Member"
"US9907849","Patent","Citation Family Member"
"JP2017522322","Patent","Citation Family Member"
"KR20170080697","Patent","Citation Family Member"
"CN106999582","Patent","Citation Family Member"
"KR20190135563","Patent","Citation Family Member"
"KR20210069124","Patent","Citation Family Member"
"CN113694193","Patent","Citation Family Member"
"KR20220054710","Patent","Citation Family Member"
"KR20230030022","Patent","Citation Family Member"
"WO16077553","Patent","Citation Family Member"
"WO2016077553","Patent","Citation Family Member"
"SG11201703541P","Patent","Citation Family Member"
"EP3218004","Patent","Citation Family Member"
"SG10201914022Q","Patent","Citation Family Member"
"EP3888679","Patent","Citation Family Member"
"HK40061534","Patent","Citation Family Member"
"EP4098278","Patent","Citation Family Member"
"JP2019142881","Patent","Citation Family Member"
"JP2021095410","Patent","Citation Family Member"
"JP2023053140","Patent","Citation Family Member"
"JP2025065337","Patent","Citation Family Member"
"AU2015346295","Patent","Citation Family Member"
"CA2966660","Patent","Citation Family Member"
"US2017267760","Patent","Citation Family Member"
"US2019023787","Patent","Citation Family Member"
"AU2019201671","Patent","Citation Family Member"
"US2021107978","Patent","Citation Family Member"
"AU2021202086","Patent","Citation Family Member"
"US2021130463","Patent","Citation Family Member"
"US2021155693","Patent","Citation Family Member"
"US2021324077","Patent","Citation Family Member"
"US2021324078","Patent","Citation Family Member"
"US2021395365","Patent","Citation Family Member"
"US2022056129","Patent","Citation Family Member"
"US2022259312","Patent","Citation Family Member"
"US2022275086","Patent","Citation Family Member"
"US2023026716","Patent","Citation Family Member"
"US2023365677","Patent","Citation Family Member"
"US10934356","Patent","Citation Family Member"
"US11325974","Patent","Citation Family Member"
"US11325975","Patent","Citation Family Member"
"US11339219","Patent","Citation Family Member"
"US11591393","Patent","Citation Family Member"
"US11629187","Patent","Citation Family Member"
"US11634491","Patent","Citation Family Member"
"US11643462","Patent","Citation Family Member"
"US11649287","Patent","Citation Family Member"
"US11718668","Patent","Citation Family Member"
"US11753468","Patent","Citation Family Member"
"JP2017537087","Patent","Citation Family Member"
"CN110678483","Patent","Citation Family Member"
"KR20200014363","Patent","Citation Family Member"
"CN117462668","Patent","Citation Family Member"
"KR20240149982","Patent","Citation Family Member"
"WO18223040","Patent","Citation Family Member"
"WO2018223040","Patent","Citation Family Member"
"EP3630840","Patent","Citation Family Member"
"JP2023159179","Patent","Citation Family Member"
"JP2026053613","Patent","Citation Family Member"
"US2023279114","Patent","Citation Family Member"
"US2025145713","Patent","Citation Family Member"
"KR102714702","Patent","Citation Family Member"
"JP7780857","Patent","Citation Family Member"
"US11566073","Patent","Citation Family Member"
"US12227576","Patent","Citation Family Member"
"JP2020522508","Patent","Citation Family Member"
"KR20100054780","Patent","Citation Family Member"
"ZA201000135","Patent","Citation Family Member"
"CN102131828","Patent","Citation Family Member"
