Citation/Document Number,Type,Relation
"US12083112","Patent","Study Patent"
"US11547705","Patent","Study Patent"
"WO16141218","Patent","Family Member"
"WO2016141218","Patent","Family Member"
"WO16140717","Patent","Family Member"
"WO2016140717","Patent","Family Member"
"US2025000853","Patent","Family Member"
"US2022023285","Patent","Family Member"
"US2018092901","Patent","Family Member"
"US12083112","Patent","Family Member"
"US11547705","Patent","Family Member"
"US11147806","Patent","Family Member"
"KR20250020678","Patent","Family Member"
"KR20240064733","Patent","Family Member"
"KR20170122809","Patent","Family Member"
"KR102662228","Patent","Family Member"
"JP7507209","Patent","Family Member"
"JP6788600","Patent","Family Member"
"JP2023039448","Patent","Family Member"
"JP2021035962","Patent","Family Member"
"JP2018512391","Patent","Family Member"
"JP2016196411","Patent","Family Member"
"CA2978226","Patent","Family Member"
"AU2015384801","Patent","Family Member"
"AU2012246490","Patent","Citation"
"CA2361057","Patent","Citation"
"CA2606719","Patent","Citation"
"CA3044658","Patent","Citation"
"CH656535","Patent","Citation"
"CN101001629","Patent","Citation"
"CN101029022","Patent","Citation"
"CN101198590","Patent","Citation"
"CN101316590","Patent","Citation"
"CN101337931","Patent","Citation"
"CN101443009","Patent","Citation"
"CN101454286","Patent","Citation"
"CN101454311","Patent","Citation"
"CN101616671","Patent","Citation"
"CN101848895","Patent","Citation"
"CN102036962","Patent","Citation"
"CN102470133","Patent","Citation"
"CN102958523","Patent","Citation"
"CN103003262","Patent","Citation"
"CN103402519","Patent","Citation"
"CN105338977","Patent","Citation"
"CN107305202","Patent","Citation"
"CN1083728","Patent","Citation"
"CN1293041","Patent","Citation"
"CN1473041","Patent","Citation"
"CN1478078","Patent","Citation"
"CN1634043","Patent","Citation"
"CN1642415","Patent","Citation"
"CN1744881","Patent","Citation"
"CN1772052","Patent","Citation"
"CN1878751","Patent","Citation"
"CN1890220","Patent","Citation"
"EP0203126","Patent","Citation"
"EP0297580","Patent","Citation"
"EP0405425","Patent","Citation"
"EP0408496","Patent","Citation"
"EP0427519","Patent","Citation"
"EP0543942","Patent","Citation"
"EP0602851","Patent","Citation"
"EP0684637","Patent","Citation"
"EP0684820","Patent","Citation"
"EP0712863","Patent","Citation"
"EP0795556","Patent","Citation"
"EP0837063","Patent","Citation"
"EP0860433","Patent","Citation"
"EP0870842","Patent","Citation"
"EP0930305","Patent","Citation"
"EP0930310","Patent","Citation"
"EP1029853","Patent","Citation"
"EP1044969","Patent","Citation"
"EP1153920","Patent","Citation"
"EP1331005","Patent","Citation"
