Citation/Document Number,Type,Relation
"US11229891","Patent","Study Patent"
"WO21086553A1","Patent","Family Member"
"US2021121840","Patent","Family Member"
"US11229891","Patent","Family Member"
"US10792630","Patent","Family Member"
"US10702837","Patent","Family Member"
"IN489541","Patent","Family Member"
"IN202227023109","Patent","Family Member"
"EP4051422A4","Patent","Family Member"
"EP4051422A1","Patent","Family Member"
"CN114929373","Patent","Family Member"
"CA3158621","Patent","Family Member"
"AU2020210291","Patent","Family Member"
"CN101258964","Patent","Citation"
"CN102949118","Patent","Citation"
"CN103841867","Patent","Citation"
"CN104084076","Patent","Citation"
"CN104385455","Patent","Citation"
"CN104473576","Patent","Citation"
"CN104808545","Patent","Citation"
"CN105615698","Patent","Citation"
"CN107080417","Patent","Citation"
"CN201398891","Patent","Citation"
"CN204467878","Patent","Citation"
"CN204520400","Patent","Citation"
"CN205006717","Patent","Citation"
"CN207194642","Patent","Citation"
"CN207444802","Patent","Citation"
"CN207768224","Patent","Citation"
"CN209147461","Patent","Citation"
"CN210354282","Patent","Citation"
"CN304785260","Patent","Citation"
"GB2506926","Patent","Citation"
"US10010213","Patent","Citation"
"US10143980","Patent","Citation"
"US10188229","Patent","Citation"
"US10299629","Patent","Citation"
"US10299632","Patent","Citation"
"US10362903","Patent","Citation"
"US10383482","Patent","Citation"
"US10391461","Patent","Citation"
"US10617260","Patent","Citation"
"US10799071","Patent","Citation"
"US10828612","Patent","Citation"
"US2001036124","Patent","Citation"
"US2002117566","Patent","Citation"
"US2002141286","Patent","Citation"
"US2004159624","Patent","Citation"
"US2007182367","Patent","Citation"
"US2007209528","Patent","Citation"
"US2007221068","Patent","Citation"
"US2007290555","Patent","Citation"
"US2008217284","Patent","Citation"
"US2008259722","Patent","Citation"
"US2008265838","Patent","Citation"
"US2010005977","Patent","Citation"
"US2010301808","Patent","Citation"
"US2011024537","Patent","Citation"
"US2011248108","Patent","Citation"
"US2012167781","Patent","Citation"
"US2013010568","Patent","Citation"
"US2013222991","Patent","Citation"
"US2014247686","Patent","Citation"
"US2014301155","Patent","Citation"
"US2015117137","Patent","Citation"
"US2015165402","Patent","Citation"
"US2015283037","Patent","Citation"
"US2015374175","Patent","Citation"
"US2016114935","Patent","Citation"
"US2016235243","Patent","Citation"
"US2016354740","Patent","Citation"
"US2017104297","Patent","Citation"
"US2017110898","Patent","Citation"
"US2018028991","Patent","Citation"
