Citation/Document Number,Type,Relation
"US8530250","Patent","Study Patent"
"WO10026716A1","Patent","Family Member"
"US9537071","Patent","Family Member"
"US9490411","Patent","Family Member"
"US9287476","Patent","Family Member"
"US8530250","Patent","Family Member"
"US2025133878","Patent","Family Member"
"US2021336094","Patent","Family Member"
"US2020287096","Patent","Family Member"
"US2019088825","Patent","Family Member"
"US2019035981","Patent","Family Member"
"US2018301600","Patent","Family Member"
"US2017141273","Patent","Family Member"
"US2016056357","Patent","Family Member"
"US2016049566","Patent","Family Member"
"US2014084320","Patent","Family Member"
"US2011210354","Patent","Family Member"
"US12211959","Patent","Family Member"
"US11094854","Patent","Family Member"
"US10700241","Patent","Family Member"
"US10573789","Patent","Family Member"
"US10573788","Patent","Family Member"
"US10115870","Patent","Family Member"
"TWI850544","Patent","Family Member"
"TWI726214","Patent","Family Member"
"TWI725777","Patent","Family Member"
"TWI635629","Patent","Family Member"
"TWI596806","Patent","Family Member"
"TWI525848","Patent","Family Member"
"TW202504036","Patent","Family Member"
"TW202127615","Patent","Family Member"
"TW202025521","Patent","Family Member"
"TW201832385","Patent","Family Member"
"TW201725761","Patent","Family Member"
"TW201644073","Patent","Family Member"
"TW201021252","Patent","Family Member"
"KR20230042151","Patent","Family Member"
"KR20220082090","Patent","Family Member"
"KR20210107167","Patent","Family Member"
"KR20200125752","Patent","Family Member"
"KR20200083651","Patent","Family Member"
"KR20190095557","Patent","Family Member"
"KR20180115362","Patent","Family Member"
"KR20170038938","Patent","Family Member"
"KR20160045924","Patent","Family Member"
"KR20110049912","Patent","Family Member"
"KR102677856","Patent","Family Member"
"KR102512557","Patent","Family Member"
"KR102405355","Patent","Family Member"
"KR102294486","Patent","Family Member"
"KR102171595","Patent","Family Member"
"KR102129936","Patent","Family Member"
"KR102011235","Patent","Family Member"
"KR101909896","Patent","Family Member"
"KR101763086","Patent","Family Member"
"KR101614975","Patent","Family Member"
"JP7469722","Patent","Family Member"
"JP7252503","Patent","Family Member"
"JP7108221","Patent","Family Member"
"JP6888709","Patent","Family Member"
"JP6797861","Patent","Family Member"
"JP6489162","Patent","Family Member"
"JP6164355","Patent","Family Member"
"JP6056934","Patent","Family Member"
"JP5825390","Patent","Family Member"
"JP5527450","Patent","Family Member"
"JP5217800","Patent","Family Member"
"JP2023088987","Patent","Family Member"
"JP2022125326","Patent","Family Member"
"JP2021121033","Patent","Family Member"
"JP2020127026","Patent","Family Member"
"JP2018121084","Patent","Family Member"
"JP2017201702","Patent","Family Member"
"JP2017050570","Patent","Family Member"
"JP2016029732","Patent","Family Member"
"JP2014146836","Patent","Family Member"
"JP2013153182","Patent","Family Member"
"JP2013145908","Patent","Family Member"
"JP2010062272","Patent","Family Member"
"IN295348","Patent","Family Member"
"IN201748021095","Patent","Family Member"
"EP4427906A3","Patent","Family Member"
"EP4427906A2","Patent","Family Member"
"EP3598509B1","Patent","Family Member"
"EP3598509A1","Patent","Family Member"
"EP3267494B1","Patent","Family Member"
"EP3267494A1","Patent","Family Member"
"EP2325901B1","Patent","Family Member"
"EP2325901A4","Patent","Family Member"
"EP2325901A1","Patent","Family Member"
"DE602009065305","Patent","Family Member"
"DE602009060050","Patent","Family Member"
"DE602009054776","Patent","Family Member"
"DE202009019173","Patent","Family Member"
"CN105576109","Patent","Family Member"
"CN105576091","Patent","Family Member"
"CN105563728","Patent","Family Member"
"CN102144306","Patent","Family Member"
"BRPI0918071","Patent","Family Member"
"US6184544","Patent","Citation"
"US6335545","Patent","Citation"
"US2004159850","Patent","Citation"
"JP2000174347","Patent","Citation"
"JP2001036154","Patent","Citation"
"JP2006140207","Patent","Citation"
"JP2006313943","Patent","Citation"
"JP2007035794","Patent","Citation"
"JP2007123302","Patent","Citation"
"JP2007235085","Patent","Citation"
