Citation/Document Number,Type,Relation
"WO2025201324","Patent","Study Patent"
"WO25201324A1","Patent","Family Member"
"TW202547486","Patent","Family Member"
"CN120698947","Patent","Family Member"
"CN105007991","Patent","Citation"
"CN105050575","Patent","Citation"
"CN105050664","Patent","Citation"
"CN116096346","Patent","Citation"
"DE102013204081","Patent","Citation Family Member"
"WO14139757A1","Patent","Citation Family Member"
"KR20150130358","Patent","Citation Family Member"
"EP2968100A1","Patent","Citation Family Member"
"US2016015615","Patent","Citation Family Member"
"JP2016510775","Patent","Citation Family Member"
"US9610234","Patent","Citation Family Member"
"BR112015022148","Patent","Citation Family Member"
"JP6444324","Patent","Citation Family Member"
"EP2968100B1","Patent","Citation Family Member"
"MX362140","Patent","Citation Family Member"
"PL2968100","Patent","Citation Family Member"
"ES2729374","Patent","Citation Family Member"
"KR102143561","Patent","Citation Family Member"
"DE502014011402","Patent","Citation Family Member"
"MX2015011990","Patent","Citation Family Member"
"DE102013204088","Patent","Citation Family Member"
"WO14139758A1","Patent","Citation Family Member"
"KR20150125008","Patent","Citation Family Member"
"EP2969027A1","Patent","Citation Family Member"
"US2016015613","Patent","Citation Family Member"
"JP2016510776","Patent","Citation Family Member"
"BR112015022154","Patent","Citation Family Member"
"JP6474355","Patent","Citation Family Member"
"MX362155","Patent","Citation Family Member"
"KR20200105979","Patent","Citation Family Member"
"KR102161680","Patent","Citation Family Member"
"EP2969027B1","Patent","Citation Family Member"
"DE502014014883","Patent","Citation Family Member"
"ES2833150","Patent","Citation Family Member"
"MX2015011991","Patent","Citation Family Member"
"JP6865730","Patent","Citation Family Member"
"JP2019069998","Patent","Citation Family Member"
"WO14139759A1","Patent","Citation Family Member"
"DE102013204097","Patent","Citation Family Member"
"KR20150125007","Patent","Citation Family Member"
"EP2969028A1","Patent","Citation Family Member"
"US2016015614","Patent","Citation Family Member"
"JP2016515106","Patent","Citation Family Member"
"BR112015022145","Patent","Citation Family Member"
"EP2969028B1","Patent","Citation Family Member"
"DE502014008211","Patent","Citation Family Member"
"ES2676894","Patent","Citation Family Member"
"PL2969028","Patent","Citation Family Member"
"JP6444325","Patent","Citation Family Member"
"MX361327","Patent","Citation Family Member"
"KR102154128","Patent","Citation Family Member"
"MX2015011992","Patent","Citation Family Member"
"WO22037927A1","Patent","Citation Family Member"
"DE102020210535","Patent","Citation Family Member"
"BR112023003093","Patent","Citation Family Member"
"EP4200285A1","Patent","Citation Family Member"
"US2023312495","Patent","Citation Family Member"
"WO2025228352","Patent","Manual"
"CN103889965","Patent","Manual"
"WO202539098","Patent","Manual"
"MANN TOBIAS, SCHERNER CATHRIN, ROHM KLAUS-HEINRICH, KOLBE LUDGER: Structure-Activity Relationships of Thiazolyl Resorcinols, Potent and Selective Inhibitors of Human Tyrosinase, INTERNATIONAL JOURNAL OF MOLECULAR SCIENCES, MOLECULAR DIVERSITY PRESERVATION INTERNATIONAL (MDPI), BASEL, CH, vol. 19, no. 3, Basel, CH                                                                                                                                                                                        ","NPL","Study NPL"
