Citation/Document Number,Type,Relation
"US7702742","Patent","Study Patent"
"US7702742","Patent","Family Member"
"US2010205502","Patent","Family Member"
"US2009319634","Patent","Family Member"
"US2002133531","Patent","Citation"
"US2002152315","Patent","Citation"
"US2002174294","Patent","Citation"
"US2003014624","Patent","Citation"
"US2003140167","Patent","Citation"
"US2004010612","Patent","Citation"
"US2004037319","Patent","Citation"
"US5613071","Patent","Citation"
"US5936958","Patent","Citation"
"US6205498","Patent","Citation"
"US6230219","Patent","Citation"
"US6466580","Patent","Citation"
"US6678246","Patent","Citation"
"US6799220","Patent","Citation"
"US6970978","Patent","Citation"
"US7062609","Patent","Citation"
"US7185128","Patent","Citation"
"DE10211889","Patent","Citation Family Member"
"JP2002278779","Patent","Citation Family Member"
"JP3610915","Patent","Citation Family Member"
"US7086056","Patent","Citation Family Member"
"US2002152327","Patent","Citation Family Member"
"US8051212","Patent","Citation Family Member"
"US2002184446","Patent","Citation Family Member"
"US7152122","Patent","Citation Family Member"
"US2002150106","Patent","Citation Family Member"
"US7676597","Patent","Citation Family Member"
"US2002165897","Patent","Citation Family Member"
"US8375145","Patent","Citation Family Member"
"US2002152328","Patent","Citation Family Member"
"US7013419","Patent","Citation Family Member"
"US2006168086","Patent","Citation Family Member"
"US7603429","Patent","Citation Family Member"
"US2006129699","Patent","Citation Family Member"
"US2009006655","Patent","Citation Family Member"
"US8019902","Patent","Citation Family Member"
"US2009182900","Patent","Citation Family Member"
"US7930437","Patent","Citation Family Member"
"US2011270917","Patent","Citation Family Member"
"US8671138","Patent","Citation Family Member"
"CA2281856","Patent","Citation Family Member"
"JP2000347982","Patent","Citation Family Member"
"JP3324572","Patent","Citation Family Member"
"US6457097","Patent","Citation Family Member"
"US6557088","Patent","Citation Family Member"
"AU200177990","Patent","Citation Family Member"
"AU2001277990","Patent","Citation Family Member"
"US2002035681","Patent","Citation Family Member"
"WO0211390A2","Patent","Citation Family Member"
"WO0211390A3","Patent","Citation Family Member"
"CN1462138","Patent","Citation Family Member"
"DE60301407","Patent","Citation Family Member"
"DE60304307","Patent","Citation Family Member"
"DE60311157","Patent","Citation Family Member"
"US2003140155","Patent","Citation Family Member"
"US2003140166","Patent","Citation Family Member"
"EP1331771A1","Patent","Citation Family Member"
"EP1331772A1","Patent","Citation Family Member"
"EP1331769A1","Patent","Citation Family Member"
"EP1331769B1","Patent","Citation Family Member"
"EP1331772B1","Patent","Citation Family Member"
"EP1331771B1","Patent","Citation Family Member"
"US7406035","Patent","Citation Family Member"
"US8005980","Patent","Citation Family Member"
"US8769154","Patent","Citation Family Member"
"WO03104943A2","Patent","Citation Family Member"
"US2004010545","Patent","Citation Family Member"
"US2004030757","Patent","Citation Family Member"
"US2004030770","Patent","Citation Family Member"
"US2004030806","Patent","Citation Family Member"
"US2004037299","Patent","Citation Family Member"
"US2004165588","Patent","Citation Family Member"
"US2004210320","Patent","Citation Family Member"
"AU2003251492","Patent","Citation Family Member"
"US2005108518","Patent","Citation Family Member"
"WO05081855A2","Patent","Citation Family Member"
"EP1573454A2","Patent","Citation Family Member"
"WO05114339A2","Patent","Citation Family Member"
"WO05081855A3","Patent","Citation Family Member"
"WO06060571A2","Patent","Citation Family Member"
"US2006136570","Patent","Citation Family Member"
"EP1730904A2","Patent","Citation Family Member"
"EP1761827A2","Patent","Citation Family Member"
"JP2006516054","Patent","Citation Family Member"
"WO07079095A2","Patent","Citation Family Member"
"WO06060571A3","Patent","Citation Family Member"
"JP2007529917","Patent","Citation Family Member"
"WO07079095A3","Patent","Citation Family Member"
"US7376755","Patent","Citation Family Member"
"US7415723","Patent","Citation Family Member"
"EP1966713A2","Patent","Citation Family Member"
"US2008253395","Patent","Citation Family Member"
