Citation/Document Number,Type,Relation
"US10570202","Patent","Study Patent"
"US12534530B2","Patent","Study Patent"
"WO15119930","Patent","Family Member"
"WO2015119930","Patent","Family Member"
"US2026116979","Patent","Family Member"
"US2022324979","Patent","Family Member"
"US2020325228","Patent","Family Member"
"US2017166641","Patent","Family Member"
"US12534530","Patent","Family Member"
"US10570202","Patent","Family Member"
"TWI663983","Patent","Family Member"
"TW201615212","Patent","Family Member"
"TR2021018608","Patent","Family Member"
"TR201901507","Patent","Family Member"
"SI3498734","Patent","Family Member"
"SI3102605","Patent","Family Member"
"SG11201605824X","Patent","Family Member"
"SG10201806656U","Patent","Family Member"
"PT3498734","Patent","Family Member"
"PT3102605","Patent","Family Member"
"PL3498734","Patent","Family Member"
"PL3102605","Patent","Family Member"
"NZ722296","Patent","Family Member"
"MX386604","Patent","Family Member"
"MX2016010082","Patent","Family Member"
"KR20250109796","Patent","Family Member"
"KR20230023810","Patent","Family Member"
"KR20160108566","Patent","Family Member"
"JP6894952","Patent","Family Member"
"JP6591428","Patent","Family Member"
"JP2021130709","Patent","Family Member"
"JP2020007359","Patent","Family Member"
"JP2017506227","Patent","Family Member"
"IN201617025251","Patent","Family Member"
"IL311399","Patent","Family Member"
"IL246760","Patent","Family Member"
"HU057205","Patent","Family Member"
"HU041469","Patent","Family Member"
"HK40010365","Patent","Family Member"
"HK1228930","Patent","Family Member"
"ES2899457","Patent","Family Member"
"ES2710211","Patent","Family Member"
"EP3971209","Patent","Family Member"
"EP3498734","Patent","Family Member"
"EP3102605","Patent","Family Member"
"EA201691376","Patent","Family Member"
"DK3102605","Patent","Family Member"
"DE602015073007","Patent","Family Member"
"DE602015019799","Patent","Family Member"
"CY1124785","Patent","Family Member"
"CY1121374","Patent","Family Member"
"CN118286440","Patent","Family Member"
"CN105960415","Patent","Family Member"
"CA3210360","Patent","Family Member"
"CA2937521","Patent","Family Member"
"BR112016017256","Patent","Family Member"
"AU2015214390","Patent","Family Member"
"US10004755","Patent","Citation"
"US2004224988","Patent","Citation"
"US2006091067","Patent","Citation"
"US2006094763","Patent","Citation"
"US2007203196","Patent","Citation"
"US2008274192","Patent","Citation"
"US2014099254","Patent","Citation"
"US2014248347","Patent","Citation"
"US2014288125","Patent","Citation"
"US2016159905","Patent","Citation"
"US2017008971","Patent","Citation"
"US2017088626","Patent","Citation"
"US2017158776","Patent","Citation"
"US2017209574","Patent","Citation"
"US2017296659","Patent","Citation"
"US2017298106","Patent","Citation"
"US2017320930","Patent","Citation"
"US2018162941","Patent","Citation"
"US2018186882","Patent","Citation"
"US6534524","Patent","Citation"
"US6884890","Patent","Citation"
"US7141581","Patent","Citation"
"US7232910","Patent","Citation"
"US7488802","Patent","Citation"
"US7521051","Patent","Citation"
"US8008449","Patent","Citation"
"US8168757","Patent","Citation"
"US8354509","Patent","Citation"
"US8383796","Patent","Citation"
"US8791140","Patent","Citation"
"US8900587","Patent","Citation"
"US8993731","Patent","Citation"
"US9073994","Patent","Citation"
"US9220776","Patent","Citation"
"US9457019","Patent","Citation"
"US9539245","Patent","Citation"
"US9683048","Patent","Citation"
"US9765147","Patent","Citation"
"US9834605","Patent","Citation"
"US9993551","Patent","Citation"
"WO04004771","Patent","Citation"
"WO2004004771","Patent","Citation"
"WO04056875","Patent","Citation"
"WO2004056875","Patent","Citation"
"WO04072286","Patent","Citation"
"WO2004072286","Patent","Citation"
"WO06048745","Patent","Citation"
"WO2006048745","Patent","Citation"
"WO08100562","Patent","Citation"
"WO2008100562","Patent","Citation"
"WO08156712","Patent","Citation"
"WO2008156712","Patent","Citation"
"WO10027827","Patent","Citation"
"WO2010027827","Patent","Citation"
"WO10077634","Patent","Citation"
"WO2010077634","Patent","Citation"
"WO11066342","Patent","Citation"
"WO2011066342","Patent","Citation"
"WO12135408","Patent","Citation"
"WO2012135408","Patent","Citation"
"WO13019906","Patent","Citation"
"WO2013019906","Patent","Citation"
"WO13164754","Patent","Citation"
"WO2013164754","Patent","Citation"
"WO13181452","Patent","Citation"
"WO2013181452","Patent","Citation"
"WO14163684","Patent","Citation"
"WO2014163684","Patent","Citation"
"WO15069266","Patent","Citation"
"WO2015069266","Patent","Citation"
"WO16059602","Patent","Citation"
"WO2016059602","Patent","Citation"
"US10750202","Patent","Citation"
"US2010266617","Patent","Citation"
"US2016303231","Patent","Citation"
"CN106414451","Patent","Citation Family Member"
"CN106459063","Patent","Citation Family Member"
"WO15157115","Patent","Citation Family Member"
"WO2015157115","Patent","Citation Family Member"
"WO15157122","Patent","Citation Family Member"
"WO2015157122","Patent","Citation Family Member"
"WO15157123","Patent","Citation Family Member"
"WO2015157123","Patent","Citation Family Member"
"WO15157127","Patent","Citation Family Member"
"WO2015157127","Patent","Citation Family Member"
"WO15157125","Patent","Citation Family Member"
"WO2015157125","Patent","Citation Family Member"
"WO15157128","Patent","Citation Family Member"
"WO2015157128","Patent","Citation Family Member"
"EP3129377","Patent","Citation Family Member"
"EP3129379","Patent","Citation Family Member"
"US2015290194","Patent","Citation Family Member"
"US2015290197","Patent","Citation Family Member"
"US2015290212","Patent","Citation Family Member"
"US2015291606","Patent","Citation Family Member"
"US2015291605","Patent","Citation Family Member"
"US2015291609","Patent","Citation Family Member"
"AU2015244171","Patent","Citation Family Member"
"AU2015244179","Patent","Citation Family Member"
"CA2945128","Patent","Citation Family Member"
"CA2945129","Patent","Citation Family Member"
"US2017136043","Patent","Citation Family Member"
"US9555031","Patent","Citation Family Member"
"US9555030","Patent","Citation Family Member"
"US9603850","Patent","Citation Family Member"
"US9649309","Patent","Citation Family Member"
"JP2017510663","Patent","Citation Family Member"
"JP2017513942","Patent","Citation Family Member"
"TW200423933","Patent","Citation Family Member"
"ZA200506974","Patent","Citation Family Member"
"GT200400053","Patent","Citation Family Member"
"BRPI0409230","Patent","Citation Family Member"
"NO20055143","Patent","Citation Family Member"
"RU2005128791","Patent","Citation Family Member"
"CN1832743","Patent","Citation Family Member"
"KR20050119671","Patent","Citation Family Member"
"RU2008122358","Patent","Citation Family Member"
"IL170648","Patent","Citation Family Member"
"UY28255","Patent","Citation Family Member"
